observation_id,site,event_date,observer,method,species,count
1,site_A,2026-04-01,field_team,transect,sp1,14
2,site_A,2026-04-01,field_team,transect,sp2,9
3,site_A,2026-04-01,field_team,transect,sp4,4
4,site_A,2026-04-01,field_team,transect,sp5,2
5,site_B,2026-04-02,field_team,transect,sp1,6
6,site_B,2026-04-02,field_team,transect,sp2,11
7,site_B,2026-04-02,field_team,transect,sp3,5
8,site_B,2026-04-02,field_team,transect,sp4,1
9,site_B,2026-04-02,field_team,transect,sp5,3
10,site_C,2026-04-03,field_team,transect,sp2,3
11,site_C,2026-04-03,field_team,transect,sp3,10
12,site_C,2026-04-03,field_team,transect,sp4,8
13,site_C,2026-04-03,field_team,transect,sp5,7
