sample_id,dose,response,unit,qc_flag
dose_01,0,0.05,relative_response,pass
dose_02,0,0.03,relative_response,pass
dose_03,0,0.06,relative_response,pass
dose_04,1,0.12,relative_response,pass
dose_05,1,0.15,relative_response,pass
dose_06,1,0.11,relative_response,pass
dose_07,3,0.25,relative_response,pass
dose_08,3,0.28,relative_response,pass
dose_09,3,0.22,relative_response,pass
dose_10,10,0.54,relative_response,pass
dose_11,10,0.58,relative_response,pass
dose_12,10,0.51,relative_response,pass
dose_13,30,0.78,relative_response,pass
dose_14,30,0.82,relative_response,pass
dose_15,30,0.76,relative_response,pass
dose_16,100,0.91,relative_response,pass
dose_17,100,0.94,relative_response,pass
dose_18,100,0.89,relative_response,pass
